case_id,baseline,outcome,note
local_modification,no_gate,A,No runtime binding after OTA install.
local_modification,digest_only,B,Covered by an explicit content-digest recheck.
local_modification,interpreter_only,A,Not applicable to native binary drift.
local_modification,ima_ipe,B,Covered when the object is in appraisal or execute-policy scope.
local_modification,ima_ipe_ota_refresh,B,Covered by refreshed OTA-derived appraisal or execute policy.
local_modification,fs_dm_verity,B,Covered for immutable protected placement.
local_modification,epochguard,B,RVR revocation before execution.
stale_rollback,no_gate,A,No active-epoch readiness state.
stale_rollback,digest_only,A,Stale file may still match an old digest.
stale_rollback,interpreter_only,A,"Checks interpreter, not rolled-back payload."
stale_rollback,ima_ipe,A,Static content or execute policy does not encode active epoch readiness.
stale_rollback,ima_ipe_ota_refresh,B,Refreshed OTA-derived policy can reject artifacts outside the current epoch.
stale_rollback,fs_dm_verity,A,Immutable verification alone does not encode active OTA epoch state.
stale_rollback,epochguard,B,Active epoch mismatch blocks launch.
update_cache_pollution,no_gate,A,No evidence-bound recovery for polluted cache content.
update_cache_pollution,digest_only,P,Depends on whether cache content is explicitly rehashed before use.
update_cache_pollution,interpreter_only,A,Irrelevant to update-cache artifacts.
update_cache_pollution,ima_ipe,P,Coverage depends on whether cache paths are in policy scope.
update_cache_pollution,ima_ipe_ota_refresh,P,Refresh helps only for covered cache objects and recovery paths.
update_cache_pollution,fs_dm_verity,P,Limited for mutable staging and repair-cache locations.
update_cache_pollution,epochguard,B,Evidence-bound recovery keeps polluted cache content non-Ready.
script_tampering,no_gate,A,No script-payload validation.
script_tampering,digest_only,P,Depends on external script hash trigger.
script_tampering,interpreter_only,P,"Only covers interpreter integrity, not all file-backed script payloads."
script_tampering,ima_ipe,P,Coverage depends on script appraisal policy.
script_tampering,ima_ipe_ota_refresh,P,Refresh helps only when script payloads are covered by policy.
script_tampering,fs_dm_verity,P,Works only for immutable script placement.
script_tampering,epochguard,B,Resolves file-backed payload before exec.
plugin_replacement,no_gate,A,No runtime freshness enforcement.
plugin_replacement,digest_only,P,Digest-only checking does not encode active epoch readiness.
plugin_replacement,interpreter_only,A,Irrelevant to plugin files.
plugin_replacement,ima_ipe,P,Depends on policy scope and managed plugin path.
plugin_replacement,ima_ipe_ota_refresh,P,Refresh helps only for covered plugin objects and load paths.
plugin_replacement,fs_dm_verity,P,Mutable plugin paths limit coverage.
plugin_replacement,epochguard,B,Pending state blocks stale replacement.
metadata_replay,no_gate,A,Local metadata is not authoritative without runtime binding.
metadata_replay,digest_only,P,Digest evidence can be replayed without active-epoch readiness.
metadata_replay,interpreter_only,A,Irrelevant to replayed metadata.
metadata_replay,ima_ipe,P,Policy metadata replay depends on deployment-specific protection.
metadata_replay,ima_ipe_ota_refresh,P,Refresh helps only when replayed state cannot override the current policy.
metadata_replay,fs_dm_verity,P,May protect immutable metadata but not mutable local readiness state.
metadata_replay,epochguard,B,Persistent metadata is a hint and cannot restore Ready state by itself.
